NO_OF_FRAMES	7383
NO_OF_CAMERAS	14
NO_OF_MARKERS	0
FREQUENCY	25
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
366	14.60000	
367	14.64000	
368	14.68000	
369	14.72000	
370	14.76000	
371	14.80000	
372	14.84000	
373	14.88000	
374	14.92000	
375	14.96000	
376	15.00000	
377	15.04000	
378	15.08000	
379	15.12000	
380	15.16000	
381	15.20000	
382	15.24000	
383	15.28000	
384	15.32000	
385	15.36000	
386	15.40000	
387	15.44000	
388	15.48000	
389	15.52000	
390	15.56000	
391	15.60000	
392	15.64000	
393	15.68000	
394	15.72000	
395	15.76000	
396	15.80000	
397	15.84000	
398	15.88000	
399	15.92000	
400	15.96000	
401	16.00000	
402	16.04000	
403	16.08000	
404	16.12000	
405	16.16000	
406	16.20000	
407	16.24000	
408	16.28000	
409	16.32000	
410	16.36000	
411	16.40000	
412	16.44000	
413	16.48000	
414	16.52000	
415	16.56000	
416	16.60000	
417	16.64000	
418	16.68000	
419	16.72000	
420	16.76000	
421	16.80000	
422	16.84000	
423	16.88000	
424	16.92000	
425	16.96000	
426	17.00000	
427	17.04000	
428	17.08000	
429	17.12000	
430	17.16000	
431	17.20000	
432	17.24000	
433	17.28000	
434	17.32000	
435	17.36000	
436	17.40000	
437	17.44000	
438	17.48000	
439	17.52000	
440	17.56000	
441	17.60000	
442	17.64000	
443	17.68000	
444	17.72000	
445	17.76000	
446	17.80000	
447	17.84000	
448	17.88000	
449	17.92000	
450	17.96000	
451	18.00000	
452	18.04000	
453	18.08000	
454	18.12000	
455	18.16000	
456	18.20000	
457	18.24000	
458	18.28000	
459	18.32000	
460	18.36000	
461	18.40000	
462	18.44000	
463	18.48000	
464	18.52000	
465	18.56000	
466	18.60000	
467	18.64000	
468	18.68000	
469	18.72000	
470	18.76000	
471	18.80000	
472	18.84000	
473	18.88000	
474	18.92000	
475	18.96000	
476	19.00000	
477	19.04000	
478	19.08000	
479	19.12000	
480	19.16000	
481	19.20000	
482	19.24000	
483	19.28000	
484	19.32000	
485	19.36000	
486	19.40000	
487	19.44000	
488	19.48000	
489	19.52000	
490	19.56000	
491	19.60000	
492	19.64000	
493	19.68000	
494	19.72000	
495	19.76000	
496	19.80000	
497	19.84000	
498	19.88000	
499	19.92000	
500	19.96000	
501	20.00000	
502	20.04000	
503	20.08000	
504	20.12000	
505	20.16000	
506	20.20000	
507	20.24000	
508	20.28000	
509	20.32000	
510	20.36000	
511	20.40000	
512	20.44000	
513	20.48000	
514	20.52000	
515	20.56000	
516	20.60000	
517	20.64000	
518	20.68000	
519	20.72000	
520	20.76000	
521	20.80000	
522	20.84000	
523	20.88000	
524	20.92000	
525	20.96000	
526	21.00000	
527	21.04000	
528	21.08000	
529	21.12000	
530	21.16000	
531	21.20000	
532	21.24000	
533	21.28000	
534	21.32000	
535	21.36000	
536	21.40000	
537	21.44000	
538	21.48000	
539	21.52000	
540	21.56000	
541	21.60000	
542	21.64000	
543	21.68000	
544	21.72000	
545	21.76000	
546	21.80000	
547	21.84000	
548	21.88000	
549	21.92000	
550	21.96000	
551	22.00000	
552	22.04000	
553	22.08000	
554	22.12000	
555	22.16000	
556	22.20000	
557	22.24000	
558	22.28000	
559	22.32000	
560	22.36000	
561	22.40000	
562	22.44000	
563	22.48000	
564	22.52000	
565	22.56000	
566	22.60000	
567	22.64000	
568	22.68000	
569	22.72000	
570	22.76000	
571	22.80000	
572	22.84000	
573	22.88000	
574	22.92000	
575	22.96000	
576	23.00000	
577	23.04000	
578	23.08000	
579	23.12000	
580	23.16000	
581	23.20000	
582	23.24000	
583	23.28000	
584	23.32000	
585	23.36000	
586	23.40000	
587	23.44000	
588	23.48000	
589	23.52000	
590	23.56000	
591	23.60000	
592	23.64000	
593	23.68000	
594	23.72000	
595	23.76000	
596	23.80000	
597	23.84000	
598	23.88000	
599	23.92000	
600	23.96000	
601	24.00000	
602	24.04000	
603	24.08000	
604	24.12000	
605	24.16000	
606	24.20000	
607	24.24000	
608	24.28000	
609	24.32000	
610	24.36000	
611	24.40000	
612	24.44000	
613	24.48000	
614	24.52000	
615	24.56000	
616	24.60000	
617	24.64000	
618	24.68000	
619	24.72000	
620	24.76000	
621	24.80000	
622	24.84000	
623	24.88000	
624	24.92000	
625	24.96000	
626	25.00000	
627	25.04000	
628	25.08000	
629	25.12000	
630	25.16000	
631	25.20000	
632	25.24000	
633	25.28000	
634	25.32000	
635	25.36000	
636	25.40000	
637	25.44000	
638	25.48000	
639	25.52000	
640	25.56000	
641	25.60000	
642	25.64000	
643	25.68000	
644	25.72000	
645	25.76000	
646	25.80000	
647	25.84000	
648	25.88000	
649	25.92000	
650	25.96000	
651	26.00000	
652	26.04000	
653	26.08000	
654	26.12000	
655	26.16000	
656	26.20000	
657	26.24000	
658	26.28000	
659	26.32000	
660	26.36000	
661	26.40000	
662	26.44000	
663	26.48000	
664	26.52000	
665	26.56000	
666	26.60000	
667	26.64000	
668	26.68000	
669	26.72000	
670	26.76000	
671	26.80000	
672	26.84000	
673	26.88000	
674	26.92000	
675	26.96000	
676	27.00000	
677	27.04000	
678	27.08000	
679	27.12000	
680	27.16000	
681	27.20000	
682	27.24000	
683	27.28000	
684	27.32000	
685	27.36000	
686	27.40000	
687	27.44000	
688	27.48000	
689	27.52000	
690	27.56000	
691	27.60000	
692	27.64000	
693	27.68000	
694	27.72000	
695	27.76000	
696	27.80000	
697	27.84000	
698	27.88000	
699	27.92000	
700	27.96000	
701	28.00000	
702	28.04000	
703	28.08000	
704	28.12000	
705	28.16000	
706	28.20000	
707	28.24000	
708	28.28000	
709	28.32000	
710	28.36000	
711	28.40000	
712	28.44000	
713	28.48000	
714	28.52000	
715	28.56000	
716	28.60000	
717	28.64000	
718	28.68000	
719	28.72000	
720	28.76000	
721	28.80000	
722	28.84000	
723	28.88000	
724	28.92000	
725	28.96000	
726	29.00000	
727	29.04000	
728	29.08000	
729	29.12000	
730	29.16000	
731	29.20000	
732	29.24000	
733	29.28000	
734	29.32000	
735	29.36000	
736	29.40000	
737	29.44000	
738	29.48000	
739	29.52000	
740	29.56000	
741	29.60000	
742	29.64000	
743	29.68000	
744	29.72000	
745	29.76000	
746	29.80000	
747	29.84000	
748	29.88000	
749	29.92000	
750	29.96000	
751	30.00000	
752	30.04000	
753	30.08000	
754	30.12000	
755	30.16000	
756	30.20000	
757	30.24000	
758	30.28000	
759	30.32000	
760	30.36000	
761	30.40000	
762	30.44000	
763	30.48000	
764	30.52000	
765	30.56000	
766	30.60000	
767	30.64000	
768	30.68000	
769	30.72000	
770	30.76000	
771	30.80000	
772	30.84000	
773	30.88000	
774	30.92000	
775	30.96000	
776	31.00000	
777	31.04000	
778	31.08000	
779	31.12000	
780	31.16000	
781	31.20000	
782	31.24000	
783	31.28000	
784	31.32000	
785	31.36000	
786	31.40000	
787	31.44000	
788	31.48000	
789	31.52000	
790	31.56000	
791	31.60000	
792	31.64000	
793	31.68000	
794	31.72000	
795	31.76000	
796	31.80000	
797	31.84000	
798	31.88000	
799	31.92000	
800	31.96000	
801	32.00000	
802	32.04000	
803	32.08000	
804	32.12000	
805	32.16000	
806	32.20000	
807	32.24000	
808	32.28000	
809	32.32000	
810	32.36000	
811	32.40000	
812	32.44000	
813	32.48000	
814	32.52000	
815	32.56000	
816	32.60000	
817	32.64000	
818	32.68000	
819	32.72000	
820	32.76000	
821	32.80000	
822	32.84000	
823	32.88000	
824	32.92000	
825	32.96000	
826	33.00000	
827	33.04000	
828	33.08000	
829	33.12000	
830	33.16000	
831	33.20000	
832	33.24000	
833	33.28000	
834	33.32000	
835	33.36000	
836	33.40000	
837	33.44000	
838	33.48000	
839	33.52000	
840	33.56000	
841	33.60000	
842	33.64000	
843	33.68000	
844	33.72000	
845	33.76000	
846	33.80000	
847	33.84000	
848	33.88000	
849	33.92000	
850	33.96000	
851	34.00000	
852	34.04000	
853	34.08000	
854	34.12000	
855	34.16000	
856	34.20000	
857	34.24000	
858	34.28000	
859	34.32000	
860	34.36000	
861	34.40000	
862	34.44000	
863	34.48000	
864	34.52000	
865	34.56000	
866	34.60000	
867	34.64000	
868	34.68000	
869	34.72000	
870	34.76000	
871	34.80000	
872	34.84000	
873	34.88000	
874	34.92000	
875	34.96000	
876	35.00000	
877	35.04000	
878	35.08000	
879	35.12000	
880	35.16000	
881	35.20000	
882	35.24000	
883	35.28000	
884	35.32000	
885	35.36000	
886	35.40000	
887	35.44000	
888	35.48000	
889	35.52000	
890	35.56000	
891	35.60000	
892	35.64000	
893	35.68000	
894	35.72000	
895	35.76000	
896	35.80000	
897	35.84000	
898	35.88000	
899	35.92000	
900	35.96000	
901	36.00000	
902	36.04000	
903	36.08000	
904	36.12000	
905	36.16000	
906	36.20000	
907	36.24000	
908	36.28000	
909	36.32000	
910	36.36000	
911	36.40000	
912	36.44000	
913	36.48000	
914	36.52000	
915	36.56000	
916	36.60000	
917	36.64000	
918	36.68000	
919	36.72000	
920	36.76000	
921	36.80000	
922	36.84000	
923	36.88000	
924	36.92000	
925	36.96000	
926	37.00000	
927	37.04000	
928	37.08000	
929	37.12000	
930	37.16000	
931	37.20000	
932	37.24000	
933	37.28000	
934	37.32000	
935	37.36000	
936	37.40000	
937	37.44000	
938	37.48000	
939	37.52000	
940	37.56000	
941	37.60000	
942	37.64000	
943	37.68000	
944	37.72000	
945	37.76000	
946	37.80000	
947	37.84000	
948	37.88000	
949	37.92000	
950	37.96000	
951	38.00000	
952	38.04000	
953	38.08000	
954	38.12000	
955	38.16000	
956	38.20000	
957	38.24000	
958	38.28000	
959	38.32000	
960	38.36000	
961	38.40000	
962	38.44000	
963	38.48000	
964	38.52000	
965	38.56000	
966	38.60000	
967	38.64000	
968	38.68000	
969	38.72000	
970	38.76000	
971	38.80000	
972	38.84000	
973	38.88000	
974	38.92000	
975	38.96000	
976	39.00000	
977	39.04000	
978	39.08000	
979	39.12000	
980	39.16000	
981	39.20000	
982	39.24000	
983	39.28000	
984	39.32000	
985	39.36000	
986	39.40000	
987	39.44000	
988	39.48000	
989	39.52000	
990	39.56000	
991	39.60000	
992	39.64000	
993	39.68000	
994	39.72000	
995	39.76000	
996	39.80000	
997	39.84000	
998	39.88000	
999	39.92000	
1000	39.96000	
1001	40.00000	
1002	40.04000	
1003	40.08000	
1004	40.12000	
1005	40.16000	
1006	40.20000	
1007	40.24000	
1008	40.28000	
1009	40.32000	
1010	40.36000	
1011	40.40000	
1012	40.44000	
1013	40.48000	
1014	40.52000	
1015	40.56000	
1016	40.60000	
1017	40.64000	
1018	40.68000	
1019	40.72000	
1020	40.76000	
1021	40.80000	
1022	40.84000	
1023	40.88000	
1024	40.92000	
1025	40.96000	
1026	41.00000	
1027	41.04000	
1028	41.08000	
1029	41.12000	
1030	41.16000	
1031	41.20000	
1032	41.24000	
1033	41.28000	
1034	41.32000	
1035	41.36000	
1036	41.40000	
1037	41.44000	
1038	41.48000	
1039	41.52000	
1040	41.56000	
1041	41.60000	
1042	41.64000	
1043	41.68000	
1044	41.72000	
1045	41.76000	
1046	41.80000	
1047	41.84000	
1048	41.88000	
1049	41.92000	
1050	41.96000	
1051	42.00000	
1052	42.04000	
1053	42.08000	
1054	42.12000	
1055	42.16000	
1056	42.20000	
1057	42.24000	
1058	42.28000	
1059	42.32000	
1060	42.36000	
1061	42.40000	
1062	42.44000	
1063	42.48000	
1064	42.52000	
1065	42.56000	
1066	42.60000	
1067	42.64000	
1068	42.68000	
1069	42.72000	
1070	42.76000	
1071	42.80000	
1072	42.84000	
1073	42.88000	
1074	42.92000	
1075	42.96000	
1076	43.00000	
1077	43.04000	
1078	43.08000	
1079	43.12000	
1080	43.16000	
1081	43.20000	
1082	43.24000	
1083	43.28000	
1084	43.32000	
1085	43.36000	
1086	43.40000	
1087	43.44000	
1088	43.48000	
1089	43.52000	
1090	43.56000	
1091	43.60000	
1092	43.64000	
1093	43.68000	
1094	43.72000	
1095	43.76000	
1096	43.80000	
1097	43.84000	
1098	43.88000	
1099	43.92000	
1100	43.96000	
1101	44.00000	
1102	44.04000	
1103	44.08000	
1104	44.12000	
1105	44.16000	
1106	44.20000	
1107	44.24000	
1108	44.28000	
1109	44.32000	
1110	44.36000	
1111	44.40000	
1112	44.44000	
1113	44.48000	
1114	44.52000	
1115	44.56000	
1116	44.60000	
1117	44.64000	
1118	44.68000	
1119	44.72000	
1120	44.76000	
1121	44.80000	
1122	44.84000	
1123	44.88000	
1124	44.92000	
1125	44.96000	
1126	45.00000	
1127	45.04000	
1128	45.08000	
1129	45.12000	
1130	45.16000	
1131	45.20000	
1132	45.24000	
1133	45.28000	
1134	45.32000	
1135	45.36000	
1136	45.40000	
1137	45.44000	
1138	45.48000	
1139	45.52000	
1140	45.56000	
1141	45.60000	
1142	45.64000	
1143	45.68000	
1144	45.72000	
1145	45.76000	
1146	45.80000	
1147	45.84000	
1148	45.88000	
1149	45.92000	
1150	45.96000	
1151	46.00000	
1152	46.04000	
1153	46.08000	
1154	46.12000	
1155	46.16000	
1156	46.20000	
1157	46.24000	
1158	46.28000	
1159	46.32000	
1160	46.36000	
1161	46.40000	
1162	46.44000	
1163	46.48000	
1164	46.52000	
1165	46.56000	
1166	46.60000	
1167	46.64000	
1168	46.68000	
1169	46.72000	
1170	46.76000	
1171	46.80000	
1172	46.84000	
1173	46.88000	
1174	46.92000	
1175	46.96000	
1176	47.00000	
1177	47.04000	
1178	47.08000	
1179	47.12000	
1180	47.16000	
1181	47.20000	
1182	47.24000	
1183	47.28000	
1184	47.32000	
1185	47.36000	
1186	47.40000	
1187	47.44000	
1188	47.48000	
1189	47.52000	
1190	47.56000	
1191	47.60000	
1192	47.64000	
1193	47.68000	
1194	47.72000	
1195	47.76000	
1196	47.80000	
1197	47.84000	
1198	47.88000	
1199	47.92000	
1200	47.96000	
1201	48.00000	
1202	48.04000	
1203	48.08000	
1204	48.12000	
1205	48.16000	
1206	48.20000	
1207	48.24000	
1208	48.28000	
1209	48.32000	
1210	48.36000	
1211	48.40000	
1212	48.44000	
1213	48.48000	
1214	48.52000	
1215	48.56000	
1216	48.60000	
1217	48.64000	
1218	48.68000	
1219	48.72000	
1220	48.76000	
1221	48.80000	
1222	48.84000	
1223	48.88000	
1224	48.92000	
1225	48.96000	
1226	49.00000	
1227	49.04000	
1228	49.08000	
1229	49.12000	
1230	49.16000	
1231	49.20000	
1232	49.24000	
1233	49.28000	
1234	49.32000	
1235	49.36000	
1236	49.40000	
1237	49.44000	
1238	49.48000	
1239	49.52000	
1240	49.56000	
1241	49.60000	
1242	49.64000	
1243	49.68000	
1244	49.72000	
1245	49.76000	
1246	49.80000	
1247	49.84000	
1248	49.88000	
1249	49.92000	
1250	49.96000	
1251	50.00000	
1252	50.04000	
1253	50.08000	
1254	50.12000	
1255	50.16000	
1256	50.20000	
1257	50.24000	
1258	50.28000	
1259	50.32000	
1260	50.36000	
1261	50.40000	
1262	50.44000	
1263	50.48000	
1264	50.52000	
1265	50.56000	
1266	50.60000	
1267	50.64000	
1268	50.68000	
1269	50.72000	
1270	50.76000	
1271	50.80000	
1272	50.84000	
1273	50.88000	
1274	50.92000	
1275	50.96000	
1276	51.00000	
1277	51.04000	
1278	51.08000	
1279	51.12000	
1280	51.16000	
1281	51.20000	
1282	51.24000	
1283	51.28000	
1284	51.32000	
1285	51.36000	
1286	51.40000	
1287	51.44000	
1288	51.48000	
1289	51.52000	
1290	51.56000	
1291	51.60000	
1292	51.64000	
1293	51.68000	
1294	51.72000	
1295	51.76000	
1296	51.80000	
1297	51.84000	
1298	51.88000	
1299	51.92000	
1300	51.96000	
1301	52.00000	
1302	52.04000	
1303	52.08000	
1304	52.12000	
1305	52.16000	
1306	52.20000	
1307	52.24000	
1308	52.28000	
1309	52.32000	
1310	52.36000	
1311	52.40000	
1312	52.44000	
1313	52.48000	
1314	52.52000	
1315	52.56000	
1316	52.60000	
1317	52.64000	
1318	52.68000	
1319	52.72000	
1320	52.76000	
1321	52.80000	
1322	52.84000	
1323	52.88000	
1324	52.92000	
1325	52.96000	
1326	53.00000	
1327	53.04000	
1328	53.08000	
1329	53.12000	
1330	53.16000	
1331	53.20000	
1332	53.24000	
1333	53.28000	
1334	53.32000	
1335	53.36000	
1336	53.40000	
1337	53.44000	
1338	53.48000	
1339	53.52000	
1340	53.56000	
1341	53.60000	
1342	53.64000	
1343	53.68000	
1344	53.72000	
1345	53.76000	
1346	53.80000	
1347	53.84000	
1348	53.88000	
1349	53.92000	
1350	53.96000	
1351	54.00000	
1352	54.04000	
1353	54.08000	
1354	54.12000	
1355	54.16000	
1356	54.20000	
1357	54.24000	
1358	54.28000	
1359	54.32000	
1360	54.36000	
1361	54.40000	
1362	54.44000	
1363	54.48000	
1364	54.52000	
1365	54.56000	
1366	54.60000	
1367	54.64000	
1368	54.68000	
1369	54.72000	
1370	54.76000	
1371	54.80000	
1372	54.84000	
1373	54.88000	
1374	54.92000	
1375	54.96000	
1376	55.00000	
1377	55.04000	
1378	55.08000	
1379	55.12000	
1380	55.16000	
1381	55.20000	
1382	55.24000	
1383	55.28000	
1384	55.32000	
1385	55.36000	
1386	55.40000	
1387	55.44000	
1388	55.48000	
1389	55.52000	
1390	55.56000	
1391	55.60000	
1392	55.64000	
1393	55.68000	
1394	55.72000	
1395	55.76000	
1396	55.80000	
1397	55.84000	
1398	55.88000	
1399	55.92000	
1400	55.96000	
1401	56.00000	
1402	56.04000	
1403	56.08000	
1404	56.12000	
1405	56.16000	
1406	56.20000	
1407	56.24000	
1408	56.28000	
1409	56.32000	
1410	56.36000	
1411	56.40000	
1412	56.44000	
1413	56.48000	
1414	56.52000	
1415	56.56000	
1416	56.60000	
1417	56.64000	
1418	56.68000	
1419	56.72000	
1420	56.76000	
1421	56.80000	
1422	56.84000	
1423	56.88000	
1424	56.92000	
1425	56.96000	
1426	57.00000	
1427	57.04000	
1428	57.08000	
1429	57.12000	
1430	57.16000	
1431	57.20000	
1432	57.24000	
1433	57.28000	
1434	57.32000	
1435	57.36000	
1436	57.40000	
1437	57.44000	
1438	57.48000	
1439	57.52000	
1440	57.56000	
1441	57.60000	
1442	57.64000	
1443	57.68000	
1444	57.72000	
1445	57.76000	
1446	57.80000	
1447	57.84000	
1448	57.88000	
1449	57.92000	
1450	57.96000	
1451	58.00000	
1452	58.04000	
1453	58.08000	
1454	58.12000	
1455	58.16000	
1456	58.20000	
1457	58.24000	
1458	58.28000	
1459	58.32000	
1460	58.36000	
1461	58.40000	
1462	58.44000	
1463	58.48000	
1464	58.52000	
1465	58.56000	
1466	58.60000	
1467	58.64000	
1468	58.68000	
1469	58.72000	
1470	58.76000	
1471	58.80000	
1472	58.84000	
1473	58.88000	
1474	58.92000	
1475	58.96000	
1476	59.00000	
1477	59.04000	
1478	59.08000	
1479	59.12000	
1480	59.16000	
1481	59.20000	
1482	59.24000	
1483	59.28000	
1484	59.32000	
1485	59.36000	
1486	59.40000	
1487	59.44000	
1488	59.48000	
1489	59.52000	
1490	59.56000	
1491	59.60000	
1492	59.64000	
1493	59.68000	
1494	59.72000	
1495	59.76000	
1496	59.80000	
1497	59.84000	
1498	59.88000	
1499	59.92000	
1500	59.96000	
1501	60.00000	
1502	60.04000	
1503	60.08000	
1504	60.12000	
1505	60.16000	
1506	60.20000	
1507	60.24000	
1508	60.28000	
1509	60.32000	
1510	60.36000	
1511	60.40000	
1512	60.44000	
1513	60.48000	
1514	60.52000	
1515	60.56000	
1516	60.60000	
1517	60.64000	
1518	60.68000	
1519	60.72000	
1520	60.76000	
1521	60.80000	
1522	60.84000	
1523	60.88000	
1524	60.92000	
1525	60.96000	
1526	61.00000	
1527	61.04000	
1528	61.08000	
1529	61.12000	
1530	61.16000	
1531	61.20000	
1532	61.24000	
1533	61.28000	
1534	61.32000	
1535	61.36000	
1536	61.40000	
1537	61.44000	
1538	61.48000	
1539	61.52000	
1540	61.56000	
1541	61.60000	
1542	61.64000	
1543	61.68000	
1544	61.72000	
1545	61.76000	
1546	61.80000	
1547	61.84000	
1548	61.88000	
1549	61.92000	
1550	61.96000	
1551	62.00000	
1552	62.04000	
1553	62.08000	
1554	62.12000	
1555	62.16000	
1556	62.20000	
1557	62.24000	
1558	62.28000	
1559	62.32000	
1560	62.36000	
1561	62.40000	
1562	62.44000	
1563	62.48000	
1564	62.52000	
1565	62.56000	
1566	62.60000	
1567	62.64000	
1568	62.68000	
1569	62.72000	
1570	62.76000	
1571	62.80000	
1572	62.84000	
1573	62.88000	
1574	62.92000	
1575	62.96000	
1576	63.00000	
1577	63.04000	
1578	63.08000	
1579	63.12000	
1580	63.16000	
1581	63.20000	
1582	63.24000	
1583	63.28000	
1584	63.32000	
1585	63.36000	
1586	63.40000	
1587	63.44000	
1588	63.48000	
1589	63.52000	
1590	63.56000	
1591	63.60000	
1592	63.64000	
1593	63.68000	
1594	63.72000	
1595	63.76000	
1596	63.80000	
1597	63.84000	
1598	63.88000	
1599	63.92000	
1600	63.96000	
1601	64.00000	
1602	64.04000	
1603	64.08000	
1604	64.12000	
1605	64.16000	
1606	64.20000	
1607	64.24000	
1608	64.28000	
1609	64.32000	
1610	64.36000	
1611	64.40000	
1612	64.44000	
1613	64.48000	
1614	64.52000	
1615	64.56000	
1616	64.60000	
1617	64.64000	
1618	64.68000	
1619	64.72000	
1620	64.76000	
1621	64.80000	
1622	64.84000	
1623	64.88000	
1624	64.92000	
1625	64.96000	
1626	65.00000	
1627	65.04000	
1628	65.08000	
1629	65.12000	
1630	65.16000	
1631	65.20000	
1632	65.24000	
1633	65.28000	
1634	65.32000	
1635	65.36000	
1636	65.40000	
